Year,State,District,Crop,Season,Area(in Hectares),Production(in Tonnes)
1998,ANDHRA PRADESH                ,ADILABAD,Arhar,Kharif,35900,12700
1998,ANDHRA PRADESH                ,ADILABAD,Arhar,Rabi,100,100
1998,ANDHRA PRADESH                ,ADILABAD,Bajra,Rabi,300,100
1998,ANDHRA PRADESH                ,ADILABAD,Castor seed,Kharif,2100,400
1998,ANDHRA PRADESH                ,ADILABAD,Cotton(lint),Kharif,162100,154400
1998,ANDHRA PRADESH                ,ADILABAD,Dry chillies,Whole year,6700,5100
1998,ANDHRA PRADESH                ,ADILABAD,Gram,Rabi,2900,400
1998,ANDHRA PRADESH                ,ADILABAD,Groundnut,Kharif,100,100
1998,ANDHRA PRADESH                ,ADILABAD,Groundnut,Rabi,5300,6900
1998,ANDHRA PRADESH                ,ADILABAD,Horse-gram,Rabi,3200,600
1998,ANDHRA PRADESH                ,ADILABAD,Jowar,Kharif,49800,60400
1998,ANDHRA PRADESH                ,ADILABAD,Jowar,Rabi,93500,40900
1998,ANDHRA PRADESH                ,ADILABAD,Maize,Kharif,24900,59500
1998,ANDHRA PRADESH                ,ADILABAD,Maize,Rabi,4400,18400
1998,ANDHRA PRADESH                ,ADILABAD,Moong,Kharif,18200,5300
1998,ANDHRA PRADESH                ,ADILABAD,Moong,Rabi,3900,500
1998,ANDHRA PRADESH                ,ADILABAD,Other  Rabi pulses,Rabi,2000,300
1998,ANDHRA PRADESH                ,ADILABAD,Other Kharif pulses,Kharif,1200,100
1998,ANDHRA PRADESH                ,ADILABAD,Rice,Kharif,66400,152300
1998,ANDHRA PRADESH                ,ADILABAD,Rice,Rabi,12200,33500
1998,ANDHRA PRADESH                ,ADILABAD,Sesamum,Kharif,12400,2400
1998,ANDHRA PRADESH                ,ADILABAD,Sesamum,Rabi,3100,900
1998,ANDHRA PRADESH                ,ADILABAD,Sugarcane,Whole year,300,28800
1998,ANDHRA PRADESH                ,ADILABAD,Sunflower,Kharif,3800,2800
1998,ANDHRA PRADESH                ,ADILABAD,Sunflower,Rabi,700,300
1998,ANDHRA PRADESH                ,ADILABAD,Tobacco,Whole year,200,400
1998,ANDHRA PRADESH                ,ADILABAD,Urad,Kharif,16900,6100
1998,ANDHRA PRADESH                ,ADILABAD,Urad,Rabi,700,300
1998,ANDHRA PRADESH                ,ADILABAD,Wheat,Rabi,2800,1600
1998,ANDHRA PRADESH                ,ANANTPUR,Arhar,Kharif,27400,9100
1998,ANDHRA PRADESH                ,ANANTPUR,Bajra,Kharif,2600,1900
1998,ANDHRA PRADESH                ,ANANTPUR,Castor seed,Kharif,3200,1000
1998,ANDHRA PRADESH                ,ANANTPUR,Cotton(lint),Kharif,14000,12900
1998,ANDHRA PRADESH                ,ANANTPUR,Dry chillies,Whole year,4200,10200
1998,ANDHRA PRADESH                ,ANANTPUR,Gram,Rabi,26200,25900
1998,ANDHRA PRADESH                ,ANANTPUR,Groundnut,Kharif,755200,867800
1998,ANDHRA PRADESH                ,ANANTPUR,Groundnut,Rabi,25900,35800
1998,ANDHRA PRADESH                ,ANANTPUR,Horse-gram,Kharif,2300,900
1998,ANDHRA PRADESH                ,ANANTPUR,Horse-gram,Rabi,700,500
1998,ANDHRA PRADESH                ,ANANTPUR,Jowar,Kharif,3700,5800
1998,ANDHRA PRADESH                ,ANANTPUR,Jowar,Rabi,14800,22100
1998,ANDHRA PRADESH                ,ANANTPUR,Korra,Kharif,4600,3400
1998,ANDHRA PRADESH                ,ANANTPUR,Maize,Kharif,3300,6700
1998,ANDHRA PRADESH                ,ANANTPUR,Maize,Rabi,300,1600
1998,ANDHRA PRADESH                ,ANANTPUR,Moong,Kharif,2100,1300
1998,ANDHRA PRADESH                ,ANANTPUR,Other Kharif pulses,Kharif,2000,300
1998,ANDHRA PRADESH                ,ANANTPUR,Ragi,Kharif,7000,14900
1998,ANDHRA PRADESH                ,ANANTPUR,Ragi,Rabi,700,1200
1998,ANDHRA PRADESH                ,ANANTPUR,Rice,Kharif,38300,96800
1998,ANDHRA PRADESH                ,ANANTPUR,Rice,Rabi,26600,63900
1998,ANDHRA PRADESH                ,ANANTPUR,Sugarcane,Whole year,700,65900
1998,ANDHRA PRADESH                ,ANANTPUR,Sunflower,Kharif,21300,12200
1998,ANDHRA PRADESH                ,ANANTPUR,Sunflower,Rabi,13500,3300
1998,ANDHRA PRADESH                ,ANANTPUR,Tobacco,Whole year,100,100
1998,ANDHRA PRADESH                ,ANANTPUR,Wheat,Rabi,400,200
1998,ANDHRA PRADESH                ,CHITTOOR,Arhar,Kharif,6100,1000
1998,ANDHRA PRADESH                ,CHITTOOR,Bajra,Kharif,1700,3400
1998,ANDHRA PRADESH                ,CHITTOOR,Castor seed,Kharif,200,100
1998,ANDHRA PRADESH                ,CHITTOOR,Dry chillies,Whole year,3800,5000
1998,ANDHRA PRADESH                ,CHITTOOR,Groundnut,Kharif,235500,211000
1998,ANDHRA PRADESH                ,CHITTOOR,Groundnut,Rabi,31100,83800
1998,ANDHRA PRADESH                ,CHITTOOR,Horse-gram,Kharif,3000,1700
1998,ANDHRA PRADESH                ,CHITTOOR,Horse-gram,Rabi,1100,800
